Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
FC Koln,6.82,14.3,19.6,17.3,12.9,2.9,6.82,0.37,0.29,0.34,0.29,0.48,0.23,Bundesliga,2015
Augsburg,6.8,15.9,17.2,18.7,15.7,2.0,6.8,0.37,0.27,0.35,0.29,0.46,0.24,Bundesliga,2015
Hamburger SV,6.78,13.8,19.8,20.3,17.0,1.8,6.78,0.35,0.31,0.34,0.28,0.49,0.23,Bundesliga,2015
Ingolstadt,6.78,10.8,19.3,22.4,15.5,2.1,6.78,0.33,0.24,0.43,0.24,0.43,0.32,Bundesliga,2015
Hertha Berlin,6.75,12.6,15.7,15.7,14.1,2.0,6.75,0.34,0.25,0.4,0.28,0.49,0.22,Bundesliga,2015
Hoffenheim,6.74,16.2,17.9,19.8,14.1,1.9,6.74,0.35,0.28,0.37,0.29,0.46,0.25,Bundesliga,2015
Darmstadt,6.71,15.0,19.2,22.0,16.4,2.3,6.71,0.38,0.3,0.32,0.29,0.44,0.28,Bundesliga,2015
VfB Stuttgart,6.7,13.6,18.6,20.1,14.9,2.7,6.7,0.38,0.28,0.34,0.25,0.47,0.28,Bundesliga,2015
Eintracht Frankfurt,6.69,12.6,16.3,19.7,15.3,3.4,6.69,0.35,0.26,0.39,0.27,0.47,0.26,Bundesliga,2015
Hannover 96,6.67,14.9,17.6,18.2,15.3,2.3,6.67,0.33,0.28,0.39,0.28,0.48,0.24,Bundesliga,2015
Bayern Munich,7.23,8.9,16.5,19.0,10.6,2.6,7.23,0.35,0.28,0.37,0.21,0.46,0.32,Bundesliga,2016
RB Leipzig,7.0,10.0,21.4,22.3,15.4,3.4,7.0,0.34,0.26,0.4,0.24,0.49,0.28,Bundesliga,2016
Borussia Dortmund,6.97,10.3,17.2,16.3,12.1,2.4,6.97,0.37,0.31,0.32,0.24,0.48,0.27,Bundesliga,2016
Hoffenheim,6.95,12.2,17.0,19.5,15.1,2.4,6.95,0.35,0.3,0.35,0.31,0.45,0.25,Bundesliga,2016
FC Koln,6.91,14.0,20.0,21.2,13.9,2.8,6.91,0.37,0.27,0.36,0.29,0.48,0.23,Bundesliga,2016
Schalke 04,6.86,11.7,18.1,23.0,14.9,2.8,6.86,0.39,0.23,0.38,0.27,0.49,0.25,Bundesliga,2016
Borussia M.Gladbach,6.83,12.5,19.4,19.1,12.3,2.6,6.83,0.33,0.23,0.43,0.26,0.49,0.25,Bundesliga,2016
Bayer Leverkusen,6.82,11.6,20.0,20.4,14.1,2.2,6.82,0.34,0.27,0.39,0.24,0.46,0.29,Bundesliga,2016
